cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret
HT29,linear_curve,3,681239.0,686673.0,3.000000106112566e-07,2.0000000233721948e-07,-61.86000061035156,33.69999694824219
HT29,linear_curve,4,681239.0,701852.0,3.000000106112566e-07,9.999999974752427e-07,-74.38999938964844,21.169998168945312
HT29,linear_curve,5,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-53.650001525878906,41.90999603271485
HT29,linear_curve,6,701852.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-95.55999755859376,0.0
HT29,linear_curve,7,681239.0,701852.0,3.000000106112566e-07,9.999999974752427e-07,-74.38999938964844,21.169998168945312
HT29,linear_curve,8,712807.0,754143.0,2.0000000233721948e-07,9.99999993922529e-09,-80.87999725341797,14.68000030517578
HT29,linear_curve,9,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-53.650001525878906,41.90999603271485
HT29,ours+zero,0,681239.0,712807.0,3.000000106112566e-07,2.0000000233721948e-07,-42.380001068115234,53.17999649047851
HT29,ours+zero,1,701852.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-95.55999755859376,0.0
HT29,ours+zero,2,701852.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-95.55999755859376,0.0
HT29,ours+zero,3,409962.0,754143.0,1.9999999949504854e-06,9.99999993922529e-09,-72.94999694824219,22.61000061035156
HT29,ours+zero,4,701852.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-95.55999755859376,0.0
HT29,ours+zero,5,681239.0,712807.0,3.000000106112566e-07,2.0000000233721948e-07,-42.380001068115234,53.17999649047851
HT29,ours+zero,6,701852.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-95.55999755859376,0.0
HT29,ours+zero,7,125973.0,681239.0,2.999999892949745e-08,3.000000106112566e-07,-35.20000076293945,60.3599967956543
HT29,ours+zero,8,6396.0,754143.0,9.999999974752427e-07,9.99999993922529e-09,-82.29000091552734,13.269996643066406
HT29,ours+zero,9,105014.0,754143.0,9.999999974752427e-07,9.99999993922529e-09,-84.44000244140625,11.1199951171875
HT29,random,0,180973.0,754143.0,6.999999868639861e-08,9.99999993922529e-09,-88.91999816894531,6.6399993896484375
HT29,random,1,218321.0,747973.0,1.0000000116860974e-07,2.999999892949745e-08,7.650000095367432,103.20999908447266
HT29,random,2,409962.0,754143.0,1.9999999949504854e-06,9.99999993922529e-09,-72.94999694824219,22.61000061035156
HT29,random,3,409962.0,754143.0,1.9999999949504854e-06,9.99999993922529e-09,-72.94999694824219,22.61000061035156
HT29,random,4,125973.0,256439.0,1.0000000116860974e-07,9.999999717180683e-10,-2.4660000801086426,93.093994140625
HT29,random,5,715055.0,761432.0,9.999999747378752e-06,4.999999858590343e-10,4.206999778747559,99.76699829101562
HT29,random,6,701852.0,713563.0,1.0000000116860974e-07,9.999999747378752e-05,9.45699977874756,105.01699829101562
HT29,random,7,732517.0,761432.0,9.999999717180683e-10,5.000000058430487e-08,3.888000011444092,99.447998046875
HT29,random,8,733504.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-91.72000122070312,3.839996337890625
HT29,random,9,681239.0,743414.0,3.000000106112566e-07,4.999999987376214e-07,-49.31999969482422,46.23999786376953
HT29,tanimoto+zero,0,24559.0,713563.0,2.999999892949745e-08,9.999999747378752e-05,5.896999835968018,101.45699739456175
HT29,tanimoto+zero,1,119875.0,713563.0,4.999999873689376e-06,9.999999747378752e-05,5.015999794006348,100.5759973526001
HT29,tanimoto+zero,2,752.0,49842.0,9.999999747378752e-06,5.000000058430487e-08,1.809999942779541,97.36999750137328
HT29,tanimoto+zero,3,92859.0,673596.0,6.000000212225132e-06,9.999999717180683e-10,1.919999957084656,97.4799975156784
HT29,tanimoto+zero,4,141540.0,713563.0,4.999999873689376e-06,9.999999747378752e-05,6.254000186920166,101.81399774551392
HT29,tanimoto+zero,5,673596.0,713563.0,2.999999892949745e-08,9.999999747378752e-05,4.552999973297119,100.11299753189088
HT29,tanimoto+zero,6,82151.0,713563.0,1.999999943436137e-09,9.999999747378752e-05,2.315000057220459,97.8749976158142
