cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,source
OVCAR-8,combo_diffusion,9,241240,761432,4.999999873689376e-05,5.000000058430487e-08,-26.400999069213867,66.82900428771973,bo_selection
OVCAR-8,bocs_sparse,9,79037,749226,4.999999873689376e-05,5.000000058430487e-08,23.57200050354004,116.80200386047363,bo_selection
MDA-MB-231/ATCC,combo_diffusion,0,63878,122819,5.000000058430487e-08,1.0000000116860974e-07,61.86399841308594,155.83399963378906,bo_selection
MDA-MB-231/ATCC,bocs_sparse,0,752,761432,9.999999747378752e-06,4.999999969612645e-09,26.16900062561035,120.13900184631348,bo_selection
MDA-MB-231/ATCC,combo_diffusion,1,18509,732517,9.999999747378752e-06,1.0000000116860974e-07,39.65999984741211,133.63000106811523,bo_selection
MDA-MB-231/ATCC,bocs_sparse,1,45388,761432,4.999999873689376e-05,5.000000058430487e-08,13.24899959564209,107.21900081634521,bo_selection
MDA-MB-231/ATCC,combo_diffusion,2,82151,761432,1.999999987845058e-08,4.999999969612645e-09,28.4950008392334,122.46500205993652,bo_selection
MDA-MB-231/ATCC,bocs_sparse,2,71423,761432,3.000000106112566e-07,5.000000058430487e-08,18.52400016784668,112.4940013885498,bo_selection
MDA-MB-231/ATCC,combo_diffusion,4,27640,754143,7.000000135093387e-09,9.99999993922529e-09,-80.41999816894531,13.550003051757812,bo_selection
MDA-MB-231/ATCC,bocs_sparse,4,681239,754143,3.000000106112566e-07,9.99999993922529e-09,-93.95999908447266,0.01000213623046875,bo_selection
MDA-MB-231/ATCC,combo_diffusion,3,6396,761432,9.999999747378752e-06,5.000000058430487e-08,35.409000396728516,129.37900161743164,bo_selection
MDA-MB-231/ATCC,bocs_sparse,3,246131,613327,1.9999999949504854e-06,9.99999993922529e-09,-42.56999969482422,51.400001525878906,bo_selection
MDA-MB-231/ATCC,combo_diffusion,5,755,681239,1.9999999949504854e-06,3.000000026176508e-09,8.260000228881836,102.23000144958496,bo_selection
MDA-MB-231/ATCC,bocs_sparse,5,755,754230,1.9999999949504854e-06,5.999999941330714e-10,-36.540000915527344,57.43000030517578,bo_selection
MDA-MB-231/ATCC,combo_diffusion,6,125973,737754,5.99999978589949e-08,9.999999747378752e-06,25.70599937438965,119.67600059509277,bo_selection
MDA-MB-231/ATCC,bocs_sparse,6,737754,747971,9.999999747378752e-06,9.999999747378752e-06,11.534000396728516,105.50400161743164,bo_selection
MDA-MB-231/ATCC,combo_diffusion,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,39.42900085449219,bo_selection
MDA-MB-231/ATCC,bocs_sparse,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,39.42900085449219,bo_selection
MDA-MB-231/ATCC,combo_diffusion,9,92859,719276,6.000000212225132e-06,3.999999989900971e-06,15.40999984741211,109.38000106811523,bo_selection
MDA-MB-231/ATCC,bocs_sparse,9,752,123127,3.000000106112566e-06,5.000000058430487e-08,-4.269999980926514,89.70000123977661,bo_selection
MDA-MB-231/ATCC,combo_diffusion,8,92859,719276,6.000000212225132e-06,4.0000000467443897e-07,39.029998779296875,133.0,bo_selection
MDA-MB-231/ATCC,bocs_sparse,8,755,25154,1.9999999949504854e-06,2.9999999242136255e-05,-22.780000686645508,71.19000053405762,bo_selection
MDA-MB-435,combo_diffusion,0,24559,712807,9.999999974752427e-07,2.0000000233721948e-07,-89.3499984741211,4.099998474121094,bo_selection
MDA-MB-435,bocs_sparse,0,24559,712807,9.999999974752427e-07,1.9999999949504854e-06,-90.0199966430664,3.4300003051757812,bo_selection
MDA-MB-435,combo_diffusion,1,19893,713563,9.999999747378752e-05,9.999999747378752e-05,8.550000190734863,101.99999713897705,bo_selection
MDA-MB-435,bocs_sparse,1,125973,761432,5.99999978589949e-08,4.999999858590343e-10,-78.43499755859375,15.014999389648438,bo_selection
MDA-MB-435,combo_diffusion,2,713563,754230,9.999999747378752e-05,5.999999976025183e-12,9.029999732971191,102.47999668121338,bo_selection
MDA-MB-435,bocs_sparse,2,19893,713563,9.999999747378752e-05,9.999999747378752e-05,8.550000190734863,101.99999713897705,bo_selection
