dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter
almanac,SN12C,bo_selection,random,2,125973,761432,5.99999978589949e-08,4.999999969612645e-09,-0.718999981880188,90.2509994506836,-90.97000122070312,False,2,1,2777,31849,4000,46508,10,20
almanac,SN12C,bo_selection,random,3,266046,279836,9.99999993922529e-09,4.999999987376214e-07,-17.577999114990234,73.39199829101562,-90.97000122070312,False,29,1,3218,36928,4000,46508,10,20
almanac,SN12C,bo_selection,random,4,628503,673596,3.999999886872274e-09,9.99999993922529e-09,7.090000152587891,98.05999755859375,-90.97000122070312,False,6,1,3521,40621,4000,46508,10,20
almanac,SN12C,bo_selection,random,5,750,279836,9.999999974752427e-07,4.999999987376214e-07,-39.07500076293945,51.89500045776367,-90.97000122070312,False,21,1,128,1406,4000,46508,10,20
almanac,SN12C,bo_selection,random,6,279836,698037,4.999999987376214e-07,9.999999974752427e-07,-20.631000518798828,70.33900451660156,-90.97000122070312,False,29,1,3255,37456,4000,46508,10,20
almanac,SN12C,bo_selection,random,7,606869,698037,9.999999974752427e-07,9.99999993922529e-09,-44.55500030517578,46.415000915527344,-90.97000122070312,False,1,1,3412,39308,4000,46508,10,20
almanac,SN12C,bo_selection,random,8,49842,246131,2.999999892949745e-08,1.9999999494757503e-05,-29.540000915527344,61.43000030517578,-90.97000122070312,False,21,1,1763,20195,4000,46508,10,20
almanac,SN12C,bo_selection,random,9,141540,606869,5.000000058430487e-08,9.999999974752427e-07,-35.60300064086914,55.367000579833984,-90.97000122070312,False,18,1,2862,32987,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,0,681239,754230,3.000000106112566e-07,9.999999960041972e-13,-80.23999786376953,10.730003356933594,-90.97000122070312,False,11,1,3583,41405,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,1,713563,747973,9.999999747378752e-05,2.999999970665357e-10,-15.289999961853027,75.6800012588501,-90.97000122070312,False,29,1,3695,42900,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,2,713563,747973,9.999999747378752e-05,2.999999970665357e-10,-15.289999961853027,75.6800012588501,-90.97000122070312,False,26,1,3695,42900,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,3,713563,754230,9.999999747378752e-05,5.999999976025183e-12,-12.17199993133545,78.79800128936768,-90.97000122070312,False,24,1,3701,42956,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,4,13875,713563,7.500000356230885e-05,9.999999747378752e-05,-2.2639999389648438,88.70600128173828,-90.97000122070312,False,19,1,872,9989,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,5,34462,713563,4.999999873689376e-05,9.999999747378752e-05,-30.3700008392334,60.60000038146973,-90.97000122070312,False,27,1,1518,17603,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,6,79037,713563,4.999999873689376e-06,9.999999747378752e-05,-25.672000885009766,65.29800033569336,-90.97000122070312,False,14,1,2104,24269,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,7,740,24559,9.999999717180685e-10,9.999999974752427e-07,-51.900001525878906,39.06999969482422,-90.97000122070312,False,29,1,19,128,4000,46508,10,20
almanac,SN12C,bo_selection,tanimoto+zero,8,19893,169780,9.999999747378752e-05,9.999999747378752e-05,-14.135000228881836,76.83500099182129,-90.97000122070312,False,29,1,1051,12122,4000,46508,10,20
